w_player1,w_player2,l_player1,l_player2
Kathrine Maaseide,Susanne Glesnes,Laura Ludwig,Sara Niedrig
Carolina Salgado,Maria Clara Salgado,Inese Jursone,Inguna Minusa
Chen Xue,Xi Zhang,Alexandra Moiseeva,Natalya Uryadova
Jia Tian,Jie Wang,Hella Jurich,Rieke Brink-Abeler
Renata Ribeiro,Talita Antunes,Ingrid Torlen,Nila Ann Hakedal
Ana Paula Henkel,Leila Barros,Kathrine Maaseide,Susanne Glesnes
Carolina Salgado,Maria Clara Salgado,Chen Xue,Xi Zhang
Renata Ribeiro,Talita Antunes,Jia Tian,Jie Wang
Ana Paula Henkel,Leila Barros,Carolina Salgado,Maria Clara Salgado
Doris Schwaiger,Stefanie Schwaiger,Bibiana Candelas,Mayra Garcia
Morgane Faure,Virginie Sarpaux,Daniela Gioria,Lucilla Perrotta
Tatiana Barrera,Virginie Kadjo,Hana Skalnikova,Tereza Petrova
Ilka Semmler,Katrin Holtwick,Marrit Leenstra,Sanne Keizer
Efthalia Koutroumanidou,Maria Tsiartsiani,Clara Lozano,Nadia Campisi
Daniela Gattelli,Giulia Momoli,Antje Roder,Helke Claasen
Natalie Cook,Tamsin Hinchley,Imara Esteves Ribalta,Milagros Crespo
"Andrezza ""Rtvelo"" Martins","Cristine ""Saka"" Santanna",Merel Mooren,Rebekka Kadijk
Doris Schwaiger,Stefanie Schwaiger,Alexandra Moiseeva,Natalya Uryadova
Morgane Faure,Virginie Sarpaux,Inese Jursone,Inguna Minusa
Laura Ludwig,Sara Niedrig,Tatiana Barrera,Virginie Kadjo
Ilka Semmler,Katrin Holtwick,Emilia Nystrom,Erika Nystrom
Linjun Ji,Ying Zhang,Efthalia Koutroumanidou,Maria Tsiartsiani
Lu Wang,Man Zuo,Daniela Gattelli,Giulia Momoli
Natalie Cook,Tamsin Hinchley,Dalixia Fernandez Grasset,Tamara Larrea Peraza
Chiaki Kusuhara,Mika Teru Saiki,"Andrezza ""Rtvelo"" Martins","Cristine ""Saka"" Santanna"
Doris Schwaiger,Stefanie Schwaiger,Morgane Faure,Virginie Sarpaux
Laura Ludwig,Sara Niedrig,Ilka Semmler,Katrin Holtwick
Lu Wang,Man Zuo,Linjun Ji,Ying Zhang
Natalie Cook,Tamsin Hinchley,Chiaki Kusuhara,Mika Teru Saiki
Ingrid Torlen,Nila Ann Hakedal,Doris Schwaiger,Stefanie Schwaiger
Laura Ludwig,Sara Niedrig,Hella Jurich,Rieke Brink-Abeler
Chen Xue,Xi Zhang,Lu Wang,Man Zuo
Natalie Cook,Tamsin Hinchley,Kathrine Maaseide,Susanne Glesnes
Ingrid Torlen,Nila Ann Hakedal,Laura Ludwig,Sara Niedrig
Chen Xue,Xi Zhang,Natalie Cook,Tamsin Hinchley
Ingrid Torlen,Nila Ann Hakedal,Carolina Salgado,Maria Clara Salgado
Jia Tian,Jie Wang,Chen Xue,Xi Zhang
Ingrid Torlen,Nila Ann Hakedal,Renata Ribeiro,Talita Antunes
Jia Tian,Jie Wang,Ana Paula Henkel,Leila Barros
Renata Ribeiro,Talita Antunes,Ana Paula Henkel,Leila Barros
Jia Tian,Jie Wang,Ingrid Torlen,Nila Ann Hakedal
Agatha Bednarczuk,Shaylyn Bede,Carolina Salgado,Maria Clara Salgado
Agatha Bednarczuk,Shaylyn Bede,Ana Paula Henkel,Leila Barros
Caroline Fiset,Isabelle Rancourt,Anouk Boileau,Marie-Christine Mondor
Chelsea Grimson,Katherine Zakrzewski,Isabelle Czerveniak,Sara Pothaar
Ilka Semmler,Katrin Holtwick,Geeske Banck,Susanne Lahme
Miwa Asao,Takemi Nishibori,Miho Makabe,Sachie Oguri
Lim Poh Hong,Luk Teck Eng,Ayu Siam,Yokbeth Kapasiang
Bernadette Kiss,Regina Kiss,Luk Teng Kee,Manokharan Iswari
Becchara Palmer,Eileen Romanowski,Devota Rahawarin,Timy Yudhani Rahayu
Diane Pascua,Heidi Ilustre,Tanarattha Udomchavee,Varapatsorn Radarong
Bibiana Candelas,Mayra Garcia,Norma Escobedo Perez,Rosario Reyes
Beh Shun Thing,Luk Teck Hua,Ho Chin Ching,Tiffany Looi
Efthalia Koutroumanidou,Maria Tsiartsiani,Lim Poh Hong,Luk Teck Eng
Angelica Ljungquist,Karin Lundqvist,Chelsea Grimson,Katherine Zakrzewski
Tatiana Barrera,Virginie Kadjo,Isabelle Forrer,Sarah Schmocker
