tourney_date,surface,winner1_name,winner1_id,winner2_name,winner2_id,loser1_name,loser1_id,loser2_name,loser2_id
2018-06-18,Grass,Ivan Dodig,104471,Rajeev Ram,104330,Marcel Granollers,104719,Robin Haase,104898
2018-06-18,Grass,Alexander Zverev,100644,Mischa Zverev,104999,Tim Puetz,105047,Jan Lennard Struff,105526
2018-06-18,Grass,Nikola Mektic,105254,Alexander Peya,103580,Dominic Inglot,104693,Franco Skugor,105015
2018-06-18,Grass,Jonathan Erlich,102968,Nicholas Monroe,103977,Andre Begemann,104398,Dustin Brown,104460
2018-06-18,Grass,Oliver Marach,103594,Mate Pavic,106207,Rohan Bopanna,103523,Edouard Roger Vasselin,104273
2018-06-18,Grass,Jamie Murray,104679,Bruno Soares,103946,Marcus Daniell,105428,Wesley Koolhof,105323
2018-06-18,Grass,Kyle Edmund,106378,Neal Skupski,105439,Lleyton Hewitt,103720,Nick Kyrgios,106401
2018-06-18,Grass,Henri Kontinen,105573,John Peers,105188,Mike Bryan,103185,Jack Sock,106058
2018-06-18,Grass,Daniel Nestor,102110,Denis Shapovalov,133430,Marius Copil,105657,Ken Skupski,104159
2018-06-18,Grass,Lukasz Kubot,103997,Marcelo Melo,104249,Ivan Dodig,104471,Rajeev Ram,104330
2018-06-18,Grass,Alexander Zverev,100644,Mischa Zverev,104999,Nikola Mektic,105254,Alexander Peya,103580
2018-06-18,Grass,Jamie Murray,104679,Bruno Soares,103946,Oliver Marach,103594,Mate Pavic,106207
2018-06-18,Grass,Henri Kontinen,105573,John Peers,105188,Kyle Edmund,106378,Neal Skupski,105439
2018-06-18,Grass,Lukasz Kubot,103997,Marcelo Melo,104249,Alexander Zverev,100644,Mischa Zverev,104999
2018-06-18,Grass,Henri Kontinen,105573,John Peers,105188,Jamie Murray,104679,Bruno Soares,103946
2018-06-25,Grass,Roman Jebavy,105433,Julio Peralta,103841,Aisam Ul Haq Qureshi,103529,Jean Julien Rojer,103828
2018-06-25,Grass,Guillermo Garcia Lopez,104198,Joao Sousa,105311,Koray Kirci,134405,Ergi Kirkin,144985
2018-06-25,Grass,Andres Molteni,105120,Hans Podlipnik Castillo,105070,Tuna Altuna,105284,Konstantin Kravchuk,104505
2018-06-25,Grass,Marcelo Demoliner,105269,Santiago Gonzalez,104136,Fabrice Martin,104802,Purav Raja,104646
2018-06-25,Grass,Radu Albot,105430,Guido Pella,105550,Antonio Sancic,105243,Andrei Vasilevski,105781
2018-06-25,Grass,Sander Arends,122644,Matwe Middelkoop,104235,Mirza Basic,105806,Dusan Lajovic,105583
2018-06-25,Grass,Jonathan Eysseric,105559,Hugo Nys,105714,Ilija Bozoljac,104592,Damir Dzumhur,106000
2018-06-25,Grass,Max Mirnyi,103018,Philipp Oswald,104667,Federico Delbonis,105643,Miguel Angel Reyes Varela,104960
2018-06-25,Grass,Juan Sebastian Cabal,108701,Robert Farah,104857,Divij Sharan,104690,Artem Sitak,104677
2018-06-25,Grass,Luke Bambridge,106382,Jonny Omara,110779,Dominic Inglot,104693,Franco Skugor,105015
2018-06-25,Grass,Scott Clayton,106295,Joe Salisbury,110749,Mike Bryan,103185,James Cerretani,103859
2018-06-25,Grass,Robert Lindstedt,102963,Edouard Roger Vasselin,104273,Maximo Gonzalez,104216,Diego Sebastian Schwartzman,106043
2018-06-25,Grass,Ken Skupski,104159,Neal Skupski,105439,Marcin Matkowski,103690,Ben Mclachlan,110758
2018-06-25,Grass,Raven Klaasen,104071,Michael Venus,105030,Nicolas Jarry,111797,Leonardo Mayer,104919
2018-06-25,Grass,Ryan Harrison,105992,Nicholas Monroe,103977,Marcus Daniell,105428,Wesley Koolhof,105323
2018-06-25,Grass,Ivan Dodig,104471,Rajeev Ram,104330,Marco Cecchinato,106065,Andreas Seppi,104312
2018-06-25,Grass,Roman Jebavy,105433,Julio Peralta,103841,Guillermo Garcia Lopez,104198,Joao Sousa,105311
2018-06-25,Grass,Marcelo Demoliner,105269,Santiago Gonzalez,104136,Andres Molteni,105120,Hans Podlipnik Castillo,105070
2018-06-25,Grass,Sander Arends,122644,Matwe Middelkoop,104235,Radu Albot,105430,Guido Pella,105550
2018-06-25,Grass,Max Mirnyi,103018,Philipp Oswald,104667,Jonathan Eysseric,105559,Hugo Nys,105714
2018-06-25,Grass,Luke Bambridge,106382,Jonny Omara,110779,Juan Sebastian Cabal,108701,Robert Farah,104857
2018-06-25,Grass,Robert Lindstedt,102963,Edouard Roger Vasselin,104273,Scott Clayton,106295,Joe Salisbury,110749
2018-06-25,Grass,Ken Skupski,104159,Neal Skupski,105439,Raven Klaasen,104071,Michael Venus,105030
2018-06-25,Grass,Ryan Harrison,105992,Nicholas Monroe,103977,Ivan Dodig,104471,Rajeev Ram,104330
2018-06-25,Grass,Marcelo Demoliner,105269,Santiago Gonzalez,104136,Roman Jebavy,105433,Julio Peralta,103841
2018-06-25,Grass,Sander Arends,122644,Matwe Middelkoop,104235,Max Mirnyi,103018,Philipp Oswald,104667
2018-06-25,Grass,Luke Bambridge,106382,Jonny Omara,110779,Robert Lindstedt,102963,Edouard Roger Vasselin,104273
2018-06-25,Grass,Ken Skupski,104159,Neal Skupski,105439,Ryan Harrison,105992,Nicholas Monroe,103977
2018-06-25,Grass,Marcelo Demoliner,105269,Santiago Gonzalez,104136,Sander Arends,122644,Matwe Middelkoop,104235
2018-06-25,Grass,Luke Bambridge,106382,Jonny Omara,110779,Ken Skupski,104159,Neal Skupski,105439
