game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
2199, Carolina Salgado, Maria Clara Salgado, Doris Schwaiger, Stefanie Schwaiger, 1728.231, 1566.838, 0.7112
2200, Elaine Youngs, Nicole Branagh, Doris Schwaiger, Stefanie Schwaiger, 1888.654, 1565.510, 0.8635
2201, Carolina Salgado, Maria Clara Salgado, Annie Martin, Dana Cooke, 1730.061, 1544.145, 0.7394
2202, Elaine Youngs, Nicole Branagh, Carolina Salgado, Maria Clara Salgado, 1891.467, 1728.064, 0.7136
2203, Annie Martin, Dana Cooke, Doris Schwaiger, Stefanie Schwaiger, 1549.938, 1560.463, 0.4693
2204, Efthalia Koutroumanidou, Maria Tsiartsiani, Jia Tian, Jie Wang, 1576.438, 1871.408, 0.1442
2205, Okka Rau, Stephanie Pohl, Hella Jurich, Rieke Brink-Abeler, 1671.754, 1652.029, 0.5144
2206, Okka Rau, Stephanie Pohl, Jia Tian, Jie Wang, 1679.511, 1865.298, 0.2406
2207, Hella Jurich, Rieke Brink-Abeler, Efthalia Koutroumanidou, Maria Tsiartsiani, 1655.831, 1573.090, 0.6071
2208, Hella Jurich, Rieke Brink-Abeler, Jia Tian, Jie Wang, 1663.231, 1859.150, 0.2304
2209, Efthalia Koutroumanidou, Maria Tsiartsiani, Okka Rau, Stephanie Pohl, 1578.556, 1672.992, 0.3515
2210, Chen Xue, Xi Zhang, Merel Mooren, Rebekka Kadijk, 1858.054, 1535.394, 0.8629
2211, Laura Ludwig, Sara Niedrig, Dalixia Fernandez Grasset, Tamara Larrea Peraza, 1726.835, 1586.722, 0.6836
2212, Dalixia Fernandez Grasset, Tamara Larrea Peraza, Chen Xue, Xi Zhang, 1595.743, 1851.403, 0.1734
2213, Laura Ludwig, Sara Niedrig, Merel Mooren, Rebekka Kadijk, 1729.053, 1531.911, 0.7506
2214, Laura Ludwig, Sara Niedrig, Chen Xue, Xi Zhang, 1734.966, 1846.086, 0.3309
2215, Dalixia Fernandez Grasset, Tamara Larrea Peraza, Merel Mooren, Rebekka Kadijk, 1600.086, 1526.334, 0.5908
2216, Ana Paula Henkel, Shelda Bede, Morgane Faure, Virginie Sarpaux, 1882.291, 1515.582, 0.8903
2217, Liesbet Van Breedam, Liesbeth Mouha, Vasiliki Arvaniti, Vasso Karadassiou, 1591.780, 1717.654, 0.3083
2218, Ana Paula Henkel, Shelda Bede, Liesbet Van Breedam, Liesbeth Mouha, 1884.846, 1589.922, 0.8419
2219, Vasiliki Arvaniti, Vasso Karadassiou, Morgane Faure, Virginie Sarpaux, 1719.803, 1513.219, 0.7619
2220, Ana Paula Henkel, Shelda Bede, Vasiliki Arvaniti, Vasso Karadassiou, 1889.264, 1717.332, 0.7211
2221, Liesbet Van Breedam, Liesbeth Mouha, Morgane Faure, Virginie Sarpaux, 1594.442, 1509.411, 0.6086
2222, Renata Ribeiro, Talita Antunes, Daniela Gattelli, Lucilla Perrotta, 1839.030, 1524.674, 0.8572
2223, Natalie Cook, Tamsin Hinchley, Maria Antonelli, Vanilda Leao, 1787.985, 1689.255, 0.6229
2224, Maria Antonelli, Vanilda Leao, Renata Ribeiro, Talita Antunes, 1702.527, 1834.006, 0.2969
2225, Natalie Cook, Tamsin Hinchley, Daniela Gattelli, Lucilla Perrotta, 1790.042, 1522.254, 0.8199
2226, Renata Ribeiro, Talita Antunes, Natalie Cook, Tamsin Hinchley, 1837.119, 1785.121, 0.5629
2227, Maria Antonelli, Vanilda Leao, Daniela Gattelli, Lucilla Perrotta, 1707.334, 1518.828, 0.7384
