game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
5039, Madelein Meppelink, Marloes Wesselink, Joanna Wiatr, Katarzyna Urban, 3286.274, 3037.774, 0.7647
5040, Madelein Meppelink, Marloes Wesselink, Marleen Van Iersel, Sanne Keizer, 3325.326, 3212.717, 0.5495
5041, Greta Cicolari, Marta Menegatti, Joanna Wiatr, Katarzyna Urban, 3182.399, 3007.516, 0.6589
5042, Marleen Van Iersel, Sanne Keizer, Joanna Wiatr, Katarzyna Urban, 3234.552, 2985.680, 0.7652
5043, Greta Cicolari, Marta Menegatti, Madelein Meppelink, Marloes Wesselink, 3244.842, 3262.882, 0.3052
5044, Nadine Zumkehr, Simone Kuhn, Maria Tsiartsiani, Vasiliki Arvaniti, 3429.806, 3290.461, 0.5983
5045, Annie Martin, Marie-Andree Lessard, Hana Skalnikova, Lenka Hajeckova, 3287.976, 3204.883, 0.4935
5046, Kristyna Kolocova, Marketa Slukova, Elisa Cella, Valeria Rosso, 3443.643, 3100.152, 0.8603
5047, Barbara Hansel, Sara Montagnolli, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, 3432.319, 3403.349, 0.3898
5048, Laura Ludwig, Sara Niedrig, Marleen Van Iersel, Sanne Keizer, 3652.608, 3225.518, 0.9133
5049, Doris Schwaiger, Stefanie Schwaiger, Carolina Salgado, Maria Clara Salgado, 3581.661, 3320.340, 0.7802
5050, Angela Lavalle, Vanilda Leao, Madelein Meppelink, Marloes Wesselink, 3390.964, 3230.706, 0.6346
5051, Becchara Palmer, Louise Bawden, Brooke Niles, Lauren Fendrick, 3371.855, 3157.397, 0.7193
5052, Juliana Felisberta, Larissa Franca, Nadine Zumkehr, Simone Kuhn, 4070.960, 3427.047, 0.9753
5053, Anastasia Barsuk, Ekaterina Birlova, Annie Martin, Marie-Andree Lessard, 3339.799, 3245.949, 0.5141
5054, Kristyna Kolocova, Marketa Slukova, Greta Cicolari, Marta Menegatti, 3466.016, 3222.469, 0.7585
5055, Barbara Hansel, Sara Montagnolli, Angie Akers, Tyra Turner, 3479.914, 3418.931, 0.4509
5056, Chen Xue, Xi Zhang, Laura Ludwig, Sara Niedrig, 3715.096, 3612.057, 0.5315
5057, Doris Schwaiger, Stefanie Schwaiger, Elsa Baquerizo, Liliana Fernandez, 3606.284, 3384.001, 0.7303
5058, Emilia Nystrom, Erika Nystrom, Angela Lavalle, Vanilda Leao, 3383.699, 3340.230, 0.4173
5059, Maria Antonelli, Talita Antunes, Becchara Palmer, Louise Bawden, 3647.626, 3354.137, 0.8154
5060, Juliana Felisberta, Larissa Franca, Anastasia Barsuk, Ekaterina Birlova, 4072.615, 3338.144, 0.9854
5061, Barbara Hansel, Sara Montagnolli, Kristyna Kolocova, Marketa Slukova, 3521.439, 3424.491, 0.5200
5062, Chen Xue, Xi Zhang, Doris Schwaiger, Stefanie Schwaiger, 3745.924, 3575.456, 0.6517
5063, Maria Antonelli, Talita Antunes, Emilia Nystrom, Erika Nystrom, 3664.922, 3366.403, 0.8204
5064, Juliana Felisberta, Larissa Franca, Barbara Hansel, Sara Montagnolli, 4077.018, 3517.035, 0.9598
5065, Chen Xue, Xi Zhang, Maria Antonelli, Talita Antunes, 3779.700, 3631.145, 0.6145
5066, Maria Antonelli, Talita Antunes, Barbara Hansel, Sara Montagnolli, 3661.429, 3486.751, 0.6586
5067, Juliana Felisberta, Larissa Franca, Chen Xue, Xi Zhang, 4092.048, 3764.670, 0.8470
5068, Angela Lavalle, Vanilda Leao, Agatha Bednarczuk, Raquel Pellucci, 3351.003, 2957.669, 0.8947
5069, Taiana Lima, Vivian Cunha, Liliane Maestrini, Luana Madeira, 3498.622, 3096.152, 0.9001
5070, Taiana Lima, Vivian Cunha, Angela Lavalle, Vanilda Leao, 3525.600, 3324.026, 0.7005
5071, Jamie Broder, Liz Cordonier, Kacie MacTavish, Kristina May, 2999.053, 2900.774, 0.5225
5072, Katarina Schillerwein, Marika Steinhauff, Britta Buthe, Karla Borger, 3039.409, 2929.098, 0.5452
5073, Katarina Schillerwein, Marika Steinhauff, Camilla Nergard, Irmelin Sannarnes, 3077.885, 2961.524, 0.5565
5074, Ane Tveit Hjortland, Rygh Maren, Karolina Suwinska, Luisa Niemc, 3035.548, 2899.489, 0.5924
5075, Taiana Lima, Vivian Cunha, Katarina Schillerwein, Marika Steinhauff, 3533.079, 3070.405, 0.9294
5076, Michala Kvapilova, Sarka Nakladalova, Alejandra Simon, Olaya Pazo, 3009.378, 2893.495, 0.5556
