game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
8178, Jantine van der Vlist, Marloes Wesselink, Barbara Hansel, Katharina Schutzenhofer, 3075.453, 3136.860, 0.3665
8179, Anouk VergÌ©-DÌ©prÌ©, Isabelle Forrer, Emily Day, Summer Ross, 3077.925, 3083.484, 0.4263
8180, Agatha Bednarczuk, Maria Antonelli, Julia Grossner, Victoria Bieneck, 3361.345, 3068.873, 0.8357
8181, Julia Grossner, Victoria Bieneck, Anouk VergÌ©-DÌ©prÌ©, Isabelle Forrer, 3092.196, 3066.669, 0.4870
8182, Emily Day, Summer Ross, Agatha Bednarczuk, Maria Antonelli, 3132.924, 3351.894, 0.1681
8183, Agatha Bednarczuk, Maria Antonelli, Anouk VergÌ©-DÌ©prÌ©, Isabelle Forrer, 3353.784, 3062.905, 0.8378
8184, Emily Day, Summer Ross, Julia Grossner, Victoria Bieneck, 3156.415, 3073.602, 0.5583
8185, Barbara Seixas, Liliane Maestrini, Jantine van der Vlist, Marloes Wesselink, 3399.985, 3073.676, 0.8645
8186, Greta Cicolari, Marta Menegatti, Brittany Hochevar, Lauren Fendrick, 3392.676, 3152.387, 0.7951
8187, Marleen Van Iersel, Sanne Keizer, Dominika Nestarcova, Natalia Dubovcova, 3350.508, 3148.955, 0.7526
8188, Kira Walkenhorst, Laura Ludwig, Irina Tsimbalova, Tatyana Mashkova, 3303.566, 2909.966, 0.9033
8189, Carolina Salgado, Maria Clara Salgado, Jolien Sinnema, Michelle Stiekema, 3353.202, 3039.549, 0.8545
8190, Louise Bawden, Taliqua Clancy, Julia Grossner, Victoria Bieneck, 3133.965, 3055.281, 0.5667
8191, Agatha Bednarczuk, Maria Antonelli, Madelein Meppelink, Sophie van Gestel, 3358.746, 3300.350, 0.5690
8192, Kristyna Kolocova, Marketa Slukova, Ana Gallay, Georgina Klug, 3300.966, 3006.571, 0.8216
8193, Barbara Seixas, Liliane Maestrini, Joana Heidrich, Nadine Zumkehr, 3404.703, 3209.247, 0.7452
8194, Emily Day, Summer Ross, Greta Cicolari, Marta Menegatti, 3200.652, 3385.246, 0.2042
8195, Brooke Sweat, Jennifer Fopma, Marleen Van Iersel, Sanne Keizer, 3223.647, 3346.137, 0.2892
8196, Kira Walkenhorst, Laura Ludwig, Doris Schwaiger, Stefanie Schwaiger, 3314.237, 3302.573, 0.4977
8197, Taiana Lima, Talita Antunes, Carolina Salgado, Maria Clara Salgado, 3393.749, 3350.908, 0.5522
8198, Ilka Semmler, Katrin Holtwick, Louise Bawden, Taliqua Clancy, 3328.990, 3125.846, 0.7527
8199, Agatha Bednarczuk, Maria Antonelli, April Ross, Kerri Walsh Jennings, 3368.618, 3652.623, 0.1477
8200, Chen Xue, Xi Zhang, Kristyna Kolocova, Marketa Slukova, 3576.672, 3299.294, 0.8294
8201, Barbara Seixas, Liliane Maestrini, Emily Day, Summer Ross, 3408.866, 3188.049, 0.7640
8202, Kira Walkenhorst, Laura Ludwig, Brooke Sweat, Jennifer Fopma, 3321.629, 3209.009, 0.6275
8203, Taiana Lima, Talita Antunes, Ilka Semmler, Katrin Holtwick, 3397.486, 3326.183, 0.5921
8204, Chen Xue, Xi Zhang, Agatha Bednarczuk, Maria Antonelli, 3578.025, 3365.947, 0.7681
8205, Barbara Seixas, Liliane Maestrini, Kira Walkenhorst, Laura Ludwig, 3415.606, 3314.076, 0.6230
