game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
212, Marrit Leenstra, Sanne Keizer, Eun-Kyoung Lee, Meong-Hee Lee, 1542.212, 1476.637, 0.5271
213, Imara Esteves Ribalta, Milagros Crespo, Emilia Nystrom, Erika Nystrom, 1540.676, 1432.837, 0.5963
214, Ana Paula Henkel, Leila Barros, Agatha Bednarczuk, Shaylyn Bede, 1589.330, 1488.520, 0.5850
215, Laura Ludwig, Sara Niedrig, Hana Skalnikova, Tereza Petrova, 1541.238, 1421.536, 0.6150
216, Merel Mooren, Rebekka Kadijk, Geeske Banck, Susanne Lahme, 1548.045, 1456.601, 0.5698
217, Chen Xue, Xi Zhang, Marie-Andree Lessard, Sarah Maxwell, 1649.998, 1527.309, 0.6197
218, Renata Ribeiro, Talita Antunes, Mered de Vries, Patricia Labee, 1723.103, 1463.051, 0.7984
219, Natalie Cook, Tamsin Hinchley, Morgane Faure, Virginie Sarpaux, 1588.614, 1466.582, 0.6187
220, Lu Wang, Man Zuo, Kathrine Maaseide, Susanne Glesnes, 1567.110, 1488.106, 0.5494
221, Efthalia Koutroumanidou, Maria Tsiartsiani, Ingrid Torlen, Nila Ann Hakedal, 1584.367, 1601.623, 0.3897
222, Adriana Behar, Shelda Bede, Linjun Ji, Ying Zhang, 1581.513, 1500.733, 0.5523
223, Vasiliki Arvaniti, Vasso Karadassiou, Hella Jurich, Rieke Brink-Abeler, 1510.063, 1481.855, 0.4645
224, Chiaki Kusuhara, Mika Teru Saiki, Dalixia Fernandez Grasset, Tamara Larrea Peraza, 1620.282, 1473.252, 0.6567
225, Juliana Felisberta, Larissa Franca, Bibiana Candelas, Mayra Garcia, 1588.468, 1519.909, 0.5321
226, Jia Tian, Jie Wang, Doris Schwaiger, Stefanie Schwaiger, 1725.894, 1550.304, 0.6974
227, Imara Esteves Ribalta, Milagros Crespo, Marrit Leenstra, Sanne Keizer, 1565.477, 1517.412, 0.4978
228, Ana Paula Henkel, Leila Barros, Laura Ludwig, Sara Niedrig, 1610.682, 1519.885, 0.5688
229, Chen Xue, Xi Zhang, Merel Mooren, Rebekka Kadijk, 1667.851, 1530.192, 0.6427
230, Natalie Cook, Tamsin Hinchley, Renata Ribeiro, Talita Antunes, 1623.079, 1688.638, 0.3156
231, Lu Wang, Man Zuo, Efthalia Koutroumanidou, Maria Tsiartsiani, 1593.035, 1558.441, 0.4752
232, Adriana Behar, Shelda Bede, Vasiliki Arvaniti, Vasso Karadassiou, 1601.313, 1490.263, 0.6014
